database,tableName,isTemporary
nzmigration,wms_to_scds_daily_wm_item_facility_mapping_wms_v2,False
nzmigration,wms_to_scds_daily_wm_item_facility_slotting_v1,False
nzmigration,wms_to_scds_daily_wm_item_facility_slotting_v2,False
nzmigration,wms_to_scds_daily_wm_item_group_wms_v1,False
nzmigration,wms_to_scds_daily_wm_item_group_wms_v2,False
nzmigration,wms_to_scds_daily_wm_item_package_cbo_v1,False
nzmigration,wms_to_scds_daily_wm_item_package_cbo_v2,False
nzmigration,wms_to_scds_daily_wm_item_wms_v1,False
nzmigration,wms_to_scds_daily_wm_item_wms_v2,False
nzmigration,wms_to_scds_daily_wm_labor_activity_v1,False
nzmigration,wms_to_scds_daily_wm_labor_activity_v2,False
nzmigration,wms_to_scds_daily_wm_labor_criteria_v1,False
nzmigration,wms_to_scds_daily_wm_labor_criteria_v2,False
nzmigration,wms_to_scds_daily_wm_labor_msg_crit_v1,False
nzmigration,wms_to_scds_daily_wm_labor_msg_crit_v2,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_crit_v1,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_crit_v2,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_crit_validation_report_on_2023_07_23_02_53_base_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_crit_validation_report_on_2023_07_23_02_53_compare_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_crit_validation_report_on_2023_07_23_02_53_missmatch_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_crit_validation_report_on_2023_07_23_03_44_base_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_crit_validation_report_on_2023_07_23_03_44_compare_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_crit_validation_report_on_2023_07_23_03_44_missmatch_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_v1,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_v2,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_validation_report_on_2023_07_23_02_51_base_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_validation_report_on_2023_07_23_02_51_compare_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_validation_report_on_2023_07_23_02_51_missmatch_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_validation_report_on_2023_07_23_03_42_base_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_validation_report_on_2023_07_23_03_42_compare_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_dtl_validation_report_on_2023_07_23_03_42_missmatch_only,False
nzmigration,wms_to_scds_daily_wm_labor_msg_v1,False
nzmigration,wms_to_scds_daily_wm_labor_msg_v2,False
nzmigration,wms_to_scds_daily_wm_labor_tran_dtl_crit_v1,False
nzmigration,wms_to_scds_daily_wm_labor_tran_dtl_crit_v2,False
nzmigration,wms_to_scds_daily_wm_locn_grp_v1,False
nzmigration,wms_to_scds_daily_wm_locn_grp_v2,False
nzmigration,wms_to_scds_daily_wm_locn_hdr_v1,False
